"Status Effective","Account Holder","Quantity of Credits","Retirement Reason","Retirement Reason Details","Credit Serial Numbers","Vintage","Protocol Version","Date Issued","ARB Eligible","Sustainable Development Goal(s)","Project ID","Project Name","Project Site Country","Project Site Location","Project Site State","Project Type",
"07/08/2016","Carbonfund.org","231","Retail Program Requirements","Retired on behalf of CF's donors","ACR-US-130-2006-193-201118598 to 201118828","2006","Version 1.0","12/17/2007","No","","ACR130","Truck Stop Electrification, Alabama","US","Alabama","ALABAMA","Transport / Fleet Efficiency",
"07/08/2016","Carbonfund.org","1000","Retail Program Requirements","Retired on behalf of CF's donors","ACR-US-136-2006-211-201163136 to 201164135","2006","Version 1.0","12/17/2007","No","","ACR136","Truck Stop Electrification, Georgia","US","Georgia","GEORGIA","Transport / Fleet Efficiency",
"05/18/2016","The Climate Trust","122500","On Behalf of Third Party","Retired on behalf of PGE's Carty Facility under the OR CO2 Standard","ACR-US-272-2015-421-1 to 122500","2015","Version 1.0","4/25/2016 10:21:34 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR272","Bear Creek Watershed Forest Carbon Project","US","10 miles southeast of the city of Astoria","OREGON","Forest Carbon",
"05/12/2016","Arbor Day Foundation","2200","On Behalf of Third Party","Philadelphia Insurance Companies","ACR-US-114-2012-314-40039 to 42238","2012","Version 1.0","7/24/2013 9:08:47 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","US","Mississippi Alluvial Valley","ARKANSAS","Forest Carbon",
"05/05/2016","C2I LLC","20","On Behalf of Third Party","On Behalf of Third Party","ACR-US-114-2012-314-46211 to 46230","2012","Version 1.0","7/24/2013 9:08:47 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","US","Mississippi Alluvial Valley","ARKANSAS","Forest Carbon",
"04/26/2016","EOS Climate Inc","4233","On Behalf of Third Party","Hannaford Supermarkets","ACR-US-310-2015-420-1 to 4233","2015","Version 1.0","4/19/2016 12:57:50 AM","No","Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action","ACR310","EOS HFC 310","US","Champaign","ILLINOIS","Industrial Process Emissions",
"04/14/2016","Natural Capital Partners Americas, LLC","74597","On Behalf of Third Party","Retirement on behalf of client for 2016 ","ACR-US-126-2013-332-234001 to 308597","2013","Version 1.0","7/3/2014 10:05:23 PM","No","Industry, Innovation and Infrastructure;Sustainable Cities and Communities;Climate Action","ACR126","Seneca Meadows LFG","US","Waterloo","NEW YORK","Landfill Gas Capture & Combustion",
"04/14/2016","Natural Capital Partners Americas, LLC","200403","On Behalf of Third Party","Retirement on behalf of client for 2016 ","ACR-US-126-2013-379-1 to 200403","2013","Version 1.0","2/3/2015 11:41:33 PM","No","Industry, Innovation and Infrastructure;Sustainable Cities and Communities;Climate Action","ACR126","Seneca Meadows LFG","US","Waterloo","NEW YORK","Landfill Gas Capture & Combustion",
"04/14/2016","Natural Capital Partners Americas, LLC","4448","On Behalf of Third Party","Retirement on behalf of clients for Q1 2016","ACR-US-126-2013-332-212474 to 216921","2013","Version 1.0","7/3/2014 10:05:23 PM","No","Industry, Innovation and Infrastructure;Sustainable Cities and Communities;Climate Action","ACR126","Seneca Meadows LFG","US","Waterloo","NEW YORK","Landfill Gas Capture & Combustion",
"04/14/2016","Natural Capital Partners Americas, LLC","6545","On Behalf of Third Party","Retirement on behalf of clients for Q1 2016","ACR-US-126-2013-332-216922 to 223466","2013","Version 1.0","7/3/2014 10:05:23 PM","No","Industry, Innovation and Infrastructure;Sustainable Cities and Communities;Climate Action","ACR126","Seneca Meadows LFG","US","Waterloo","NEW YORK","Landfill Gas Capture & Combustion",
"04/14/2016","Natural Capital Partners Americas, LLC","640","On Behalf of Third Party","Retirement on behalf of clients for Q1 2016","ACR-US-114-2014-395-107850 to 108489","2014","Version 1.0","8/7/2015 8:46:07 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","US","Mississippi Alluvial Valley","ARKANSAS","Forest Carbon",
"04/14/2016","Natural Capital Partners Americas, LLC","5","On Behalf of Third Party","Retirement on behalf of clients for Q1 2016","ACR-US-114-2014-395-62795 to 62799","2014","Version 1.0","8/7/2015 8:46:07 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","US","Mississippi Alluvial Valley","ARKANSAS","Forest Carbon",
"04/14/2016","Natural Capital Partners Americas, LLC","50","On Behalf of Third Party","Retirement on behalf of clients for Q1 2016","ACR-US-114-2014-395-62800 to 62849","2014","Version 1.0","8/7/2015 8:46:07 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","US","Mississippi Alluvial Valley","ARKANSAS","Forest Carbon",
"04/08/2016","Carbonfund.org","52","Retail Program Requirements","Retired on behalf of CF's donors","ACR-US-151-2007-244-201196900 to 201196951","2007","Version 1.0","12/17/2007","No","","ACR151","Truck Stop Electrification, Ohio","US","Ohio","OHIO","Transport / Fleet Efficiency",
"04/06/2016","Carbon Financial Services Pty Ltd","500","On Behalf of Third Party","Retirement for RP&G Q2 2016","ACR-US-113-2008-156-206375704 to 206376203","2008","Version 1.0","9/3/2008","No","","ACR113","Greater New Bedford LFG","US","Dartmouth","MASSACHUSETTS","Landfill Gas Capture & Combustion",
"03/04/2016","C2I LLC","3708","On Behalf of Third Party","On Behalf of Third Party","ACR-US-114-2012-314-42503 to 46210","2012","Version 1.0","7/24/2013 9:08:47 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","US","Mississippi Alluvial Valley","ARKANSAS","Forest Carbon",
"03/03/2016","C2I LLC","264","On Behalf of Third Party","Decarbonizing Coal","ACR-US-114-2012-314-42239 to 42502","2012","Version 1.0","7/24/2013 9:08:47 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","US","Mississippi Alluvial Valley","ARKANSAS","Forest Carbon",
"01/16/2016","LivClean Corp.","835","On Behalf of Third Party","BW WCI ES12412 (07/15), ES12444 (08/15) & ES12492 (09/15)","ACR-US-126-2013-332-226413 to 227247","2013","Version 1.0","7/3/2014 10:05:23 PM","No","Industry, Innovation and Infrastructure;Sustainable Cities and Communities;Climate Action","ACR126","Seneca Meadows LFG","US","Waterloo","NEW YORK","Landfill Gas Capture & Combustion",
"01/15/2016","Carbonfund.org","92","Retail Program Requirements","Retired on Behalf of CF Donors","ACR-US-158-2007-262-201251582 to 201251673","2007","Version 1.0","12/17/2007","No","","ACR158","Truck Stop Electrification, Utah","US","Utah","UTAH","Transport / Fleet Efficiency",
"01/15/2016","Carbonfund.org","82","Retail Program Requirements","Retired on Behalf of CF Donors","ACR-US-154-2007-249-201201737 to 201201818","2007","Version 1.0","12/17/2007","No","","ACR154","Truck Stop Electrification, Pennsylvania","US","Pennsylvania","PENNSYLVANIA","Transport / Fleet Efficiency",
"01/15/2016","Carbonfund.org","2","Retail Program Requirements","Retired on Behalf of CF Donors","ACR-US-152-2007-246-201198747 to 201198748","2007","Version 1.0","12/17/2007","No","","ACR152","Truck Stop Electrification, Oklahoma","US","Oklahoma","OKLAHOMA","Transport / Fleet Efficiency",
"01/15/2016","Carbonfund.org","57","Retail Program Requirements","Retired on Behalf of CF Donors","ACR-US-151-2007-244-201196843 to 201196899","2007","Version 1.0","12/17/2007","No","","ACR151","Truck Stop Electrification, Ohio","US","Ohio","OHIO","Transport / Fleet Efficiency",
"01/15/2016","Carbonfund.org","3","Retail Program Requirements","Retired on Behalf of CF Donors","ACR-US-150-2007-242-201185291 to 201185293","2007","Version 1.0","12/17/2007","No","","ACR150","Truck Stop Electrification, North Dakota","US","North Dakota","NORTH DAKOTA","Transport / Fleet Efficiency",
"01/15/2016","Carbonfund.org","276","Retail Program Requirements","Retired on Behalf of CF Donors","ACR-US-142-2007-224-201179929 to 201180204","2007","Version 1.0","12/17/2007","No","","ACR142","Truck Stop Electrification, Michigan","US","Michigan","MICHIGAN","Transport / Fleet Efficiency",
"01/15/2016","Carbonfund.org","1","Retail Program Requirements","Retired on Behalf of CF Donors","ACR-US-136-2007-212-201168698 to 201168698","2007","Version 1.0","12/17/2007","No","","ACR136","Truck Stop Electrification, Georgia","US","Georgia","GEORGIA","Transport / Fleet Efficiency",
"01/15/2016","Carbonfund.org","28","Retail Program Requirements","Retired on Behalf of CF Donors","ACR-US-134-2007-205-201156402 to 201156429","2007","Version 1.0","12/17/2007","No","","ACR134","Truck Stop Electrification, Colorado","US","Colorado","COLORADO","Transport / Fleet Efficiency",
"01/15/2016","Carbonfund.org","146","Retail Program Requirements","Retired on Behalf of CF Donors","ACR-US-130-2007-194-201119885 to 201120030","2007","Version 1.0","12/17/2007","No","","ACR130","Truck Stop Electrification, Alabama","US","Alabama","ALABAMA","Transport / Fleet Efficiency",
"01/14/2016","Natural Capital Partners Americas, LLC","45000","On Behalf of Third Party","Retirement on behalf of client for FY2016","ACR-US-114-2014-395-62850 to 107849","2014","Version 1.0","8/7/2015 8:46:07 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","US","Mississippi Alluvial Valley","ARKANSAS","Forest Carbon",
"01/14/2016","Natural Capital Partners Americas, LLC","1473","On Behalf of Third Party","Retirement on behalf of clients for Q4 2015","ACR-US-126-2013-332-211001 to 212473","2013","Version 1.0","7/3/2014 10:05:23 PM","No","Industry, Innovation and Infrastructure;Sustainable Cities and Communities;Climate Action","ACR126","Seneca Meadows LFG","US","Waterloo","NEW YORK","Landfill Gas Capture & Combustion",
"01/14/2016","Natural Capital Partners Americas, LLC","33050","On Behalf of Third Party","Retirement on behalf of clients for Q4 2015","ACR-US-114-2014-395-29745 to 62794","2014","Version 1.0","8/7/2015 8:46:07 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","US","Mississippi Alluvial Valley","ARKANSAS","Forest Carbon",
"01/14/2016","Natural Capital Partners Americas, LLC","465","On Behalf of Third Party","Retirement on behalf of clients for Q4 2015","ACR-US-114-2014-395-108490 to 108954","2014","Version 1.0","8/7/2015 8:46:07 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","US","Mississippi Alluvial Valley","ARKANSAS","Forest Carbon",
"01/14/2016","Natural Capital Partners Americas, LLC","50","On Behalf of Third Party","Retirement on behalf of clients for Q4 2015","ACR-US-114-2012-314-35660 to 35709","2012","Version 1.0","7/24/2013 9:08:47 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","US","Mississippi Alluvial Valley","ARKANSAS","Forest Carbon",
"01/04/2016","Seneca Meadows","141","On Behalf of Third Party","On Behalf of Rockefeller Brothers Fund","ACR-US-126-2011-293-213712416 to 213712556","2011","Version 1.0","3/12/2012","No","Industry, Innovation and Infrastructure;Sustainable Cities and Communities;Climate Action","ACR126","Seneca Meadows LFG","US","Waterloo","NEW YORK","Landfill Gas Capture & Combustion",
"12/29/2015","Sustain:Green","62","Environmental Benefit","Additional 2015 Retirement","ACR-US-102-2003-274-120158095 to 120158156","2003","Version 1.0","10/31/2005","No","","ACR102","Air Bag Gas Substitution","US","Beaverton","OREGON","Industrial Gas Substitution",
"11/05/2015","Blue Source","211123","On Behalf of Third Party","on behalf of TransAlta Corporation","ACR-US-117-2005-125-206583391 to 206794513","2005","Version 1.0","12/3/2008","No","","ACR117","Merit Energy Geo-Seq","US","LaBarge","WYOMING","Carbon Capture & Storage (CCS)",
"11/05/2015","Blue Source","165151","On Behalf of Third Party","on behalf of TransAlta Corporation","ACR-US-117-2004-124-206418240 to 206583390","2004","Version 1.0","12/3/2008","No","","ACR117","Merit Energy Geo-Seq","US","LaBarge","WYOMING","Carbon Capture & Storage (CCS)",
"11/05/2015","Sustain:Green","16","Environmental Benefit","2015 Q3 Bonus Retirement","ACR-US-102-2003-274-120158079 to 120158094","2003","Version 1.0","10/31/2005","No","","ACR102","Air Bag Gas Substitution","US","Beaverton","OREGON","Industrial Gas Substitution",
"10/19/2015","Sustain:Green","31","Environmental Benefit","2015-9","ACR-US-102-2003-274-120158048 to 120158078","2003","Version 1.0","10/31/2005","No","","ACR102","Air Bag Gas Substitution","US","Beaverton","OREGON","Industrial Gas Substitution",
"10/19/2015","Sustain:Green","20","Environmental Benefit","2015-8","ACR-US-102-2003-274-120158028 to 120158047","2003","Version 1.0","10/31/2005","No","","ACR102","Air Bag Gas Substitution","US","Beaverton","OREGON","Industrial Gas Substitution",
"10/14/2015","Carbonfund.org","19","Retail Program Requirements","Retired on Behalf of CF Donors","ACR-US-151-2007-244-201196824 to 201196842","2007","Version 1.0","12/17/2007","No","","ACR151","Truck Stop Electrification, Ohio","US","Ohio","OHIO","Transport / Fleet Efficiency",
"10/14/2015","Carbonfund.org","79","Retail Program Requirements","Retired on Behalf of CF Donors","ACR-US-142-2007-224-201179850 to 201179928","2007","Version 1.0","12/17/2007","No","","ACR142","Truck Stop Electrification, Michigan","US","Michigan","MICHIGAN","Transport / Fleet Efficiency",
"10/14/2015","Carbonfund.org","160","Retail Program Requirements","Retired on Behalf of CF Donors","ACR-US-134-2007-205-201156242 to 201156401","2007","Version 1.0","12/17/2007","No","","ACR134","Truck Stop Electrification, Colorado","US","Colorado","COLORADO","Transport / Fleet Efficiency",
"10/14/2015","Carbonfund.org","425","Retail Program Requirements","Retired on Behalf of CF Donors","ACR-US-130-2007-194-201119460 to 201119884","2007","Version 1.0","12/17/2007","No","","ACR130","Truck Stop Electrification, Alabama","US","Alabama","ALABAMA","Transport / Fleet Efficiency",
"10/14/2015","Natural Capital Partners Americas, LLC","25000","On Behalf of Third Party","Retirement on behalf of client for FY2015","ACR-US-114-2014-395-1 to 25000","2014","Version 1.0","8/7/2015 8:46:07 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","US","Mississippi Alluvial Valley","ARKANSAS","Forest Carbon",
"10/14/2015","Natural Capital Partners Americas, LLC","1267","On Behalf of Third Party","Retirement on behalf of clients for Q3 2015","ACR-US-126-2013-332-209734 to 211000","2013","Version 1.0","7/3/2014 10:05:23 PM","No","Industry, Innovation and Infrastructure;Sustainable Cities and Communities;Climate Action","ACR126","Seneca Meadows LFG","US","Waterloo","NEW YORK","Landfill Gas Capture & Combustion",
"10/14/2015","Natural Capital Partners Americas, LLC","1711","On Behalf of Third Party","Retirement on behalf of clients for Q3 2015","ACR-US-114-2014-395-25001 to 26711","2014","Version 1.0","8/7/2015 8:46:07 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","US","Mississippi Alluvial Valley","ARKANSAS","Forest Carbon",
"10/14/2015","Natural Capital Partners Americas, LLC","3033","On Behalf of Third Party","Retirement on behalf of clients for Q3 2015","ACR-US-114-2014-395-26712 to 29744","2014","Version 1.0","8/7/2015 8:46:07 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","US","Mississippi Alluvial Valley","ARKANSAS","Forest Carbon",
"10/14/2015","Natural Capital Partners Americas, LLC","5","On Behalf of Third Party","Retirement on behalf of clients for Q2 2015","ACR-US-114-2012-314-35655 to 35659","2012","Version 1.0","7/24/2013 9:08:47 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","US","Mississippi Alluvial Valley","ARKANSAS","Forest Carbon",
"09/30/2015","Bonneville Environmental Foundation","6934","Environmental Benefit","Environmental Benefit","ACR-US-188-2014-397-1 to 6934","2014","Version 1.0","8/28/2015 5:19:21 PM","No","Good Health and Well-Being;Industry, Innovation and Infrastructure;Sustainable Cities and Communities;Climate Action","ACR188","Truck Stop Electrification, BEF","US","Various","TENNESSEE","Transport / Fleet Efficiency",
"09/21/2015","Seneca Meadows","2508","On Behalf of Third Party","On behalf of Native Energy Inc. Clients","ACR-US-126-2014-396-7493 to 10000","2014","Version 1.0","8/28/2015 2:28:40 PM","No","Industry, Innovation and Infrastructure;Sustainable Cities and Communities;Climate Action","ACR126","Seneca Meadows LFG","US","Waterloo","NEW YORK","Landfill Gas Capture & Combustion",
"09/21/2015","Seneca Meadows","7492","On Behalf of Third Party","On behalf of Green Mountain College","ACR-US-126-2014-396-1 to 7492","2014","Version 1.0","8/28/2015 2:28:40 PM","No","Industry, Innovation and Infrastructure;Sustainable Cities and Communities;Climate Action","ACR126","Seneca Meadows LFG","US","Waterloo","NEW YORK","Landfill Gas Capture & Combustion",
"09/14/2015","LivClean Corp.","412","On Behalf of Third Party","BW WJ 12362 (May 15 partial) & ES12401 (June 2015)","ACR-US-126-2013-332-226001 to 226412","2013","Version 1.0","7/3/2014 10:05:23 PM","No","Industry, Innovation and Infrastructure;Sustainable Cities and Communities;Climate Action","ACR126","Seneca Meadows LFG","US","Waterloo","NEW YORK","Landfill Gas Capture & Combustion",
"09/10/2015","Sustain:Green","16","Environmental Benefit","2015 Q1&Q2 Bonus Retirement","ACR-US-102-2003-274-120158012 to 120158027","2003","Version 1.0","10/31/2005","No","","ACR102","Air Bag Gas Substitution","US","Beaverton","OREGON","Industrial Gas Substitution",
"09/07/2015","Sustain:Green","31","Environmental Benefit","2015-7","ACR-US-102-2003-274-120157981 to 120158011","2003","Version 1.0","10/31/2005","No","","ACR102","Air Bag Gas Substitution","US","Beaverton","OREGON","Industrial Gas Substitution",
"08/25/2015","Bonneville Environmental Foundation","498","Environmental Benefit","Environmental Benefit","ACR-US-188-2010-370-1 to 498","2010","Version 1.0","12/30/2014 7:38:37 PM","No","Good Health and Well-Being;Industry, Innovation and Infrastructure;Sustainable Cities and Communities;Climate Action","ACR188","Truck Stop Electrification, BEF","US","Various","TENNESSEE","Transport / Fleet Efficiency",
"08/25/2015","Bonneville Environmental Foundation","3641","Environmental Benefit","Environmental Benefit","ACR-US-188-2011-369-1 to 3641","2011","Version 1.0","12/30/2014 7:38:37 PM","No","Good Health and Well-Being;Industry, Innovation and Infrastructure;Sustainable Cities and Communities;Climate Action","ACR188","Truck Stop Electrification, BEF","US","Various","TENNESSEE","Transport / Fleet Efficiency",
"08/25/2015","Bonneville Environmental Foundation","5805","Environmental Benefit","Environmental Benefit","ACR-US-188-2013-367-1 to 5805","2013","Version 1.0","12/30/2014 7:38:37 PM","No","Good Health and Well-Being;Industry, Innovation and Infrastructure;Sustainable Cities and Communities;Climate Action","ACR188","Truck Stop Electrification, BEF","US","Various","TENNESSEE","Transport / Fleet Efficiency",
"08/25/2015","Bonneville Environmental Foundation","5363","Environmental Benefit","Environmental Benefit","ACR-US-188-2012-368-1 to 5363","2012","Version 1.0","12/30/2014 7:38:37 PM","No","Good Health and Well-Being;Industry, Innovation and Infrastructure;Sustainable Cities and Communities;Climate Action","ACR188","Truck Stop Electrification, BEF","US","Various","TENNESSEE","Transport / Fleet Efficiency",
"08/25/2015","Bonneville Environmental Foundation","38639","Environmental Benefit","Environmental Benefit","ACR-US-204-2014-392-1 to 38639","2014","Version 2.0","7/2/2015 7:02:20 PM","No","Industry, Innovation and Infrastructure;Sustainable Cities and Communities;Climate Action","ACR204","Improvements in Vehicle Efficiency for Marten Transport","US","US (48 States)","WISCONSIN","Transport / Fleet Efficiency",
"08/25/2015","Bonneville Environmental Foundation","59123","Environmental Benefit","Environmental Benefit","ACR-US-207-2014-393-1 to 59123","2014","Version 2.0","7/2/2015 7:02:31 PM","No","Industry, Innovation and Infrastructure;Sustainable Cities and Communities;Climate Action","ACR207","Improvements in Vehicle Efficiency for Crete Carrier Corp","US","Us (48 States)","NEBRASKA","Transport / Fleet Efficiency",
"08/05/2015","Sustain:Green","11","Environmental Benefit","2015-6","ACR-US-102-2003-274-120157970 to 120157980","2003","Version 1.0","10/31/2005","No","","ACR102","Air Bag Gas Substitution","US","Beaverton","OREGON","Industrial Gas Substitution",
"07/30/2015","Carbonfund.org","175","Retail Program Requirements","On Behalf of CF's Donors","ACR-US-114-2010-145-213695606 to 213695780","2010","Version 1.0","12/22/2011","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","US","Mississippi Alluvial Valley","ARKANSAS","Forest Carbon",
"07/30/2015","Carbonfund.org","130","Retail Program Requirements","On Behalf of CF's Donors","ACR-US-114-2009-144-213007529 to 213007658","2009","Version 1.0","6/29/2010","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","US","Mississippi Alluvial Valley","ARKANSAS","Forest Carbon",
"07/21/2015","Carbon Financial Services Pty Ltd","200","On Behalf of Third Party","GreenPrint LLC","ACR-US-114-2010-145-213695406 to 213695605","2010","Version 1.0","12/22/2011","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","US","Mississippi Alluvial Valley","ARKANSAS","Forest Carbon",
"07/20/2015","Sustainable Travel International","2946","On Behalf of Third Party","Retired on behalf of United Eco-Skies aircraft for April 2015 emissions","ACR-US-114-2012-320-560 to 3505","2012","Version 1.0","10/28/2013 11:54:31 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","US","Mississippi Alluvial Valley","ARKANSAS","Forest Carbon",
"07/20/2015","Sustainable Travel International","559","On Behalf of Third Party","Retired on behalf of Sustainable Travel International's global partners","ACR-US-114-2012-320-1 to 559","2012","Version 1.0","10/28/2013 11:54:31 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","US","Mississippi Alluvial Valley","ARKANSAS","Forest Carbon",
"07/14/2015","C2I LLC","15","On Behalf of Third Party","BCSE","ACR-US-114-2012-314-40024 to 40038","2012","Version 1.0","7/24/2013 9:08:47 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","US","Mississippi Alluvial Valley","ARKANSAS","Forest Carbon",
"07/13/2015","Carbonfund.org","502","Retail Program Requirements","Retired on Behalf of CF's Donors","ACR-US-153-2007-247-201198749 to 201199250","2007","Version 1.0","12/17/2007","No","","ACR153","Truck Stop Electrification, Oregon","US","Oregon","OREGON","Transport / Fleet Efficiency",
"07/13/2015","Carbonfund.org","469","Retail Program Requirements","Retired on Behalf of CF's Donors","ACR-US-144-2007-227-201181697 to 201182165","2007","Version 1.0","12/17/2007","No","","ACR144","Truck Stop Electrification, Mississippi","US","Mississippi","MISSISSIPPI","Transport / Fleet Efficiency",
"07/13/2015","Carbonfund.org","502","Retail Program Requirements","Retired on Behalf of CF's Donors","ACR-US-139-2007-218-201174157 to 201174658","2007","Version 1.0","12/17/2007","No","","ACR139","Truck Stop Electrification, Kentucky","US","Kentucky","KENTUCKY","Transport / Fleet Efficiency",
"07/13/2015","Carbonfund.org","790","Retail Program Requirements","Retired on Behalf of CF's Donors","ACR-US-136-2007-212-201167908 to 201168697","2007","Version 1.0","12/17/2007","No","","ACR136","Truck Stop Electrification, Georgia","US","Georgia","GEORGIA","Transport / Fleet Efficiency",
"07/13/2015","Carbonfund.org","396","Retail Program Requirements","Retired on Behalf of CF's Donors","ACR-US-134-2007-205-201155846 to 201156241","2007","Version 1.0","12/17/2007","No","","ACR134","Truck Stop Electrification, Colorado","US","Colorado","COLORADO","Transport / Fleet Efficiency",
"07/13/2015","Carbonfund.org","746","Retail Program Requirements","Retired on Behalf of CF's Donors","ACR-US-126-2012-313-20899 to 21644","2012","Version 1.0","7/8/2013 3:39:51 AM","No","Industry, Innovation and Infrastructure;Sustainable Cities and Communities;Climate Action","ACR126","Seneca Meadows LFG","US","Waterloo","NEW YORK","Landfill Gas Capture & Combustion",
"07/13/2015","Natural Capital Partners Americas, LLC","8251","On Behalf of Third Party","Retirement on behalf of clients for Q2 2015","ACR-US-126-2013-332-201478 to 209728","2013","Version 1.0","7/3/2014 10:05:23 PM","No","Industry, Innovation and Infrastructure;Sustainable Cities and Communities;Climate Action","ACR126","Seneca Meadows LFG","US","Waterloo","NEW YORK","Landfill Gas Capture & Combustion",
"06/30/2015","Sustain:Green","14","Environmental Benefit","2015-5","ACR-US-102-2003-274-120157956 to 120157969","2003","Version 1.0","10/31/2005","No","","ACR102","Air Bag Gas Substitution","US","Beaverton","OREGON","Industrial Gas Substitution",
"06/29/2015","Carbon Financial Services Pty Ltd","400","On Behalf of Third Party","GreenPrint LLC","ACR-US-113-2008-156-206375304 to 206375703","2008","Version 1.0","9/3/2008","No","","ACR113","Greater New Bedford LFG","US","Dartmouth","MASSACHUSETTS","Landfill Gas Capture & Combustion",
"05/20/2015","Sustain:Green","24","Environmental Benefit","2015-4","ACR-US-102-2003-274-120157932 to 120157955","2003","Version 1.0","10/31/2005","No","","ACR102","Air Bag Gas Substitution","US","Beaverton","OREGON","Industrial Gas Substitution",
"04/21/2015","Carbonfund.org","8","Retail Program Requirements","Retired on behalf of CF's Donors","ACR-US-136-2007-212-201167900 to 201167907","2007","Version 1.0","12/17/2007","No","","ACR136","Truck Stop Electrification, Georgia","US","Georgia","GEORGIA","Transport / Fleet Efficiency",
"04/21/2015","Carbonfund.org","856","Retail Program Requirements","Retired on behalf of CF's Donors","ACR-US-135-2007-207-201156691 to 201157546","2007","Version 1.0","12/17/2007","No","","ACR135","Truck Stop Electrification, Florida","US","Florida","FLORIDA","Transport / Fleet Efficiency",
"04/21/2015","Carbonfund.org","173","Retail Program Requirements","Retired on behalf of CF's Donors","ACR-US-134-2007-205-201155673 to 201155845","2007","Version 1.0","12/17/2007","No","","ACR134","Truck Stop Electrification, Colorado","US","Colorado","COLORADO","Transport / Fleet Efficiency",
"04/21/2015","Carbonfund.org","347","Retail Program Requirements","Retired on behalf of CF's Donors","ACR-US-132-2005-199-201126222 to 201126568","2005","Version 1.0","12/17/2007","No","","ACR132","Truck Stop Electrification, Arkansas","US","Arkansas","ARKANSAS","Transport / Fleet Efficiency",
"04/21/2015","Carbonfund.org","444","Retail Program Requirements","Retired on behalf of CF's Donors","ACR-US-133-2006-203-201148795 to 201149238","2006","Version 1.0","12/17/2007","No","","ACR133","Truck Stop Electrification, California","US","California","CALIFORNIA","Transport / Fleet Efficiency",
"04/21/2015","Carbonfund.org","992","Retail Program Requirements","Retired on behalf of CF's Donors","ACR-US-132-2006-200-201127991 to 201128982","2006","Version 1.0","12/17/2007","No","","ACR132","Truck Stop Electrification, Arkansas","US","Arkansas","ARKANSAS","Transport / Fleet Efficiency",
"04/21/2015","Carbonfund.org","246","Retail Program Requirements","Retired on behalf of CF's Donors","ACR-US-132-2006-200-201127745 to 201127990","2006","Version 1.0","12/17/2007","No","","ACR132","Truck Stop Electrification, Arkansas","US","Arkansas","ARKANSAS","Transport / Fleet Efficiency",
"04/20/2015","Sustain:Green","13","Environmental Benefit","2015-3","ACR-US-102-2003-274-120157919 to 120157931","2003","Version 1.0","10/31/2005","No","","ACR102","Air Bag Gas Substitution","US","Beaverton","OREGON","Industrial Gas Substitution",
